path,effective_value,unit,status,source_file,source_key_path,scientific_rationale,pipeline_stage,manuscript_reference,engaged,sensitivity_coverage
control_regions.pm2_5.breakpoints,"[15.0, 25.0, 50.0]",channel units,STANDARD_BASED,config/iaq_hfis.yaml,control_regions.pm2_5.breakpoints,"WHO 2021 24h air-quality reference points, used as operational control points (not a WHO compliance assessment).",membership_construction,Table 2: control regions,True,
control_regions.pm10.transition_widths,"[25.0, 25.0, 25.0]",channel units,DATASHEET_BASED,config/sensor_specs.yaml,control_regions.pm10.transition_widths,Matches sensor_specs.yaml's declared_uncertainty for pm10 (datasheet-sourced).,membership_construction,,True,
control_regions.pm10.breakpoints,"[45.0, 75.0, 100.0]",channel units,STANDARD_BASED,config/iaq_hfis.yaml,control_regions.pm10.breakpoints,"WHO 2021 24h air-quality reference points, used as operational control points (not a WHO compliance assessment).",membership_construction,Table 2: control regions,True,
control_regions.co2.transition_widths,"[70.0, 70.0, 70.0]",channel units,DATASHEET_BASED,config/sensor_specs.yaml,control_regions.co2.transition_widths,Matches sensor_specs.yaml's declared_uncertainty for co2 (datasheet-sourced).,membership_construction,,True,
control_regions.co2.breakpoints,"[800.0, 1000.0, 1500.0]",channel units,STANDARD_BASED,config/iaq_hfis.yaml,control_regions.co2.breakpoints,"WHO 2021 24h air-quality reference points, used as operational control points (not a WHO compliance assessment).",membership_construction,Table 2: control regions,True,
control_regions.relative_humidity.breakpoints,favourable/acceptable/degraded/critical bands,%,STANDARD_BASED,config/iaq_hfis.yaml,control_regions.relative_humidity.breakpoints,"DBN B.2.5-67:2013 (Ukrainian building-services standard), Додаток Д, Таблиця Д.5.",membership_construction,Table 2: control regions,True,
control_regions.relative_humidity.transition_width,3.0,%,PROVISIONAL,config/iaq_hfis.yaml,control_regions.relative_humidity.transition_width,Matches sensor_specs.yaml bme_humidity.declared_uncertainty; the RH breakpoints themselves are standard-based (DBN B.2.5-67:2013) but this transition width is not separately specified there.,membership_construction,,True,
control_regions.output.breakpoints,"[25.0, 50.0, 75.0]",index points,MANUSCRIPT_DEFINED,config/iaq_hfis.yaml,control_regions.output.breakpoints,The output index scale's own 25/50/75 class boundaries are fixed by the manuscript's method definition.,membership_construction,Output class boundaries 25/50/75,True,
control_regions.output.transition_widths,"[2.0, 2.0, 2.0]",index points,PROVISIONAL,config/iaq_hfis.yaml,control_regions.output.transition_widths,Not given numerically in the manuscript.,membership_construction,,True,
membership.output_transition_width,2.0,index points,PROVISIONAL,config/iaq_hfis.yaml,membership.output_transition_width,Not given numerically in the manuscript; same rationale as control_regions.output.transition_widths.,membership_construction,,True,
membership.dominant_component_tie_tolerance,1.0,index points,AUTHOR_DEFINED,config/iaq_hfis.yaml,membership.dominant_component_tie_tolerance,Not specified in the manuscript. A component within this many crisp-score points of the maximum is still reported as jointly dominant.,fuzzy_inference,,True,
room_profiles.kitchen/cold_period.transition_width,0.5,degC,STANDARD_BASED,config/room_profiles.yaml,room_profiles.kitchen/cold_period.transition_width,See room_profiles.yaml inline citation for the exact DBN B.2.5-67:2013 table row (or documented author decision) this profile maps to.,profile_selection,,True,
room_profiles.general_residential/warm_period.transition_width,0.5,degC,STANDARD_BASED,config/room_profiles.yaml,room_profiles.general_residential/warm_period.transition_width,See room_profiles.yaml inline citation for the exact DBN B.2.5-67:2013 table row (or documented author decision) this profile maps to.,profile_selection,,True,
room_profiles.kitchen/warm_period.transition_width,0.5,degC,STANDARD_BASED,config/room_profiles.yaml,room_profiles.kitchen/warm_period.transition_width,See room_profiles.yaml inline citation for the exact DBN B.2.5-67:2013 table row (or documented author decision) this profile maps to.,profile_selection,,True,
evaluation.stability_seed,42,,PROVISIONAL,config/iaq_hfis.yaml,evaluation.stability_seed,The manuscript requires a fixed seed for reproducibility but gives no value.,evaluation_stability,,True,
evaluation.stability_n_trials,30,trials,PROVISIONAL,config/iaq_hfis.yaml,evaluation.stability_n_trials,Not given numerically in the manuscript.,evaluation_stability,,True,
evaluation.stability_max_boundary_samples,20,samples,AUTHOR_DEFINED,config/iaq_hfis.yaml,evaluation.stability_max_boundary_samples,Bounds multi-point stability runtime on Raspberry Pi 5; not a manuscript parameter.,evaluation_stability,,True,
evaluation.stability_max_random_samples,10,samples,AUTHOR_DEFINED,config/iaq_hfis.yaml,evaluation.stability_max_random_samples,Same rationale as stability_max_boundary_samples.,evaluation_stability,,True,
evaluation.sensitivity_window_minutes,"[5, 15, 30, 60]",minutes,MANUSCRIPT_DEFINED,config/iaq_hfis.yaml,evaluation.sensitivity_window_minutes,Manuscript-specified sensitivity window set.,evaluation_sensitivity,Sensitivity protocol: window set,True,this parameter IS the sensitivity experiment's own swept axis
evaluation.sensitivity_coverage_thresholds,"[0.7, 0.8, 0.9]",,AUTHOR_DEFINED,config/iaq_hfis.yaml,evaluation.sensitivity_coverage_thresholds,"The manuscript specifies 0.80 as the primary coverage threshold and states that alternative thresholds are evaluated, but does not name them. The surrounding 0.70/0.90 sweep points are repository evaluation choices, not manuscript-specified values.",evaluation_sensitivity,Sensitivity protocol: coverage threshold set (0.80 only),True,this parameter IS the sensitivity experiment's own swept axis
evaluation.sensitivity_max_samples_per_stratum,5,samples,AUTHOR_DEFINED,config/iaq_hfis.yaml,evaluation.sensitivity_max_samples_per_stratum,Bounds multi-point sensitivity runtime.,evaluation_sensitivity,,True,
evaluation.masking_severity_threshold,Critical,,PROVISIONAL,config/iaq_hfis.yaml,evaluation.masking_severity_threshold,Which severity counts as 'hidden' by an aggregation baseline; not specified in the manuscript.,evaluation_masking,,True,
evaluation.continuity_grid_points,21,points,AUTHOR_DEFINED,config/iaq_hfis.yaml,evaluation.continuity_grid_points,Dense-grid resolution for the boundary continuity experiment; not a manuscript parameter.,evaluation_continuity,,True,
aggregation.time_weighted_mean_rule,weight proportional to each usable sample's time interval to the next sample within the window,,MANUSCRIPT_DEFINED,src/iaq_hfis/aggregation.py,aggregate_channel(),The manuscript specifies a time-weighted mean aggregation over the rolling window; see aggregation.py.,aggregation,Materials and Methods: time-weighted aggregation,True,
evaluation.fault_injection_scenarios,"60 deterministic synthetic scenarios across 5 channels (co2, temperature, humidity, pm10, pm2_5) x 5 reason codes (single_spike incl. one alternate magnitude, out_of_range, stuck_value, data_loss, gradual_drift) plus genuine-event preservation checks, split 30/30 into disjoint calibration/validation sets",,AUTHOR_DEFINED,src/iaq_hfis/evaluation/fault_injection.py,evaluation.fault_injection_scenarios,"Not derived from the manuscript; a fixed, documented synthetic benchmark separate from real-data analysis.",evaluation_fault_injection,,True,
evaluation.hampel_calibration_grid,"window_size in {7,11,15}, mad_multiplier in {1.0,2.0,3.0}",,AUTHOR_DEFINED,src/iaq_hfis/evaluation/fault_injection.py,evaluation.hampel_calibration_grid,"Describes the diagnostic-only candidate grid itself (an evaluation-harness design choice), scored on the synthetic calibration split (see parameter_selection.json) -- not a configuration value that shapes computed results: the configured hampel.window_size/mad_multiplier are never auto-changed from this grid. No parameter in this system is currently CALIBRATED_ON_SYNTHETIC_CALIBRATION_SPLIT -- Hampel stays LITERATURE_INFORMED specifically because synthetic calibration does not equal validation on manually labelled real faults.",evaluation_fault_injection,,True,
fuzzy_engine.partial_mode_inference_rule,"PARTIAL-mode index rules are regenerated directly from the available components (same worst-of consequent), not the full 3-input rule base with the missing component filtered out",,AUTHOR_DEFINED_PROVISIONAL,src/iaq_hfis/fuzzy_engine.py,infer_index(),"The manuscript does not specify PARTIAL-mode inference mechanics; see fuzzy_engine.infer_index docstring for why naive filtering of the full rule base would be unsound (a real design rationale, not an arbitrary guess) -- still needs sensitivity coverage since it is not manuscript-confirmed.",fuzzy_inference,,True,
