antecedents,consequent_class,expected_worst_of_antecedents,matches_worst_of_property
"{'A': 'Degraded', 'M': 'Acceptable', 'V': 'Critical'}",Critical,Critical,True
"{'A': 'Degraded', 'M': 'Acceptable', 'V': 'Degraded'}",Degraded,Degraded,True
"{'A': 'Degraded', 'M': 'Acceptable', 'V': 'Favourable'}",Degraded,Degraded,True
"{'A': 'Degraded', 'M': 'Critical', 'V': 'Acceptable'}",Critical,Critical,True
"{'A': 'Degraded', 'M': 'Critical', 'V': 'Critical'}",Critical,Critical,True
"{'A': 'Degraded', 'M': 'Critical', 'V': 'Degraded'}",Critical,Critical,True
"{'A': 'Degraded', 'M': 'Critical', 'V': 'Favourable'}",Critical,Critical,True
"{'A': 'Degraded', 'M': 'Degraded', 'V': 'Acceptable'}",Degraded,Degraded,True
"{'A': 'Degraded', 'M': 'Degraded', 'V': 'Critical'}",Critical,Critical,True
"{'A': 'Degraded', 'M': 'Degraded', 'V': 'Degraded'}",Degraded,Degraded,True
"{'A': 'Degraded', 'M': 'Degraded', 'V': 'Favourable'}",Degraded,Degraded,True
"{'A': 'Degraded', 'M': 'Favourable', 'V': 'Acceptable'}",Degraded,Degraded,True
"{'A': 'Degraded', 'M': 'Favourable', 'V': 'Critical'}",Critical,Critical,True
"{'A': 'Degraded', 'M': 'Favourable', 'V': 'Degraded'}",Degraded,Degraded,True
"{'A': 'Degraded', 'M': 'Favourable', 'V': 'Favourable'}",Degraded,Degraded,True
"{'A': 'Favourable', 'M': 'Acceptable', 'V': 'Acceptable'}",Acceptable,Acceptable,True
"{'A': 'Favourable', 'M': 'Acceptable', 'V': 'Critical'}",Critical,Critical,True
"{'A': 'Favourable', 'M': 'Acceptable', 'V': 'Degraded'}",Degraded,Degraded,True
"{'A': 'Favourable', 'M': 'Acceptable', 'V': 'Favourable'}",Acceptable,Acceptable,True
"{'A': 'Favourable', 'M': 'Critical', 'V': 'Acceptable'}",Critical,Critical,True
"{'A': 'Favourable', 'M': 'Critical', 'V': 'Critical'}",Critical,Critical,True
"{'A': 'Favourable', 'M': 'Critical', 'V': 'Degraded'}",Critical,Critical,True
"{'A': 'Favourable', 'M': 'Critical', 'V': 'Favourable'}",Critical,Critical,True
"{'A': 'Favourable', 'M': 'Degraded', 'V': 'Acceptable'}",Degraded,Degraded,True
"{'A': 'Favourable', 'M': 'Degraded', 'V': 'Critical'}",Critical,Critical,True
"{'A': 'Favourable', 'M': 'Degraded', 'V': 'Degraded'}",Degraded,Degraded,True
"{'A': 'Favourable', 'M': 'Degraded', 'V': 'Favourable'}",Degraded,Degraded,True
"{'A': 'Favourable', 'M': 'Favourable', 'V': 'Acceptable'}",Acceptable,Acceptable,True
"{'A': 'Favourable', 'M': 'Favourable', 'V': 'Critical'}",Critical,Critical,True
"{'A': 'Favourable', 'M': 'Favourable', 'V': 'Degraded'}",Degraded,Degraded,True
"{'A': 'Favourable', 'M': 'Favourable', 'V': 'Favourable'}",Favourable,Favourable,True
